###################### UltraGCN ######################
1. Loading Configuration...
load path = ./electronics_ii_constraint_mat object
load path = ./electronics_ii_neighbor_mat object
Load Configuration OK, show them below
The time for epoch 18 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.40875, F1-score: 0.021725 	 Precision: 0.01233	 Recall: 0.09102	NDCG: 0.04976
The time for epoch 19 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.88000, F1-score: 0.021417 	 Precision: 0.01216	 Recall: 0.08968	NDCG: 0.04944
The time for epoch 20 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 269.88641, F1-score: 0.021664 	 Precision: 0.01230	 Recall: 0.09077	NDCG: 0.04973
The time for epoch 21 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.79865, F1-score: 0.021475 	 Precision: 0.01220	 Recall: 0.08985	NDCG: 0.04938
The time for epoch 22 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.08414, F1-score: 0.021531 	 Precision: 0.01223	 Recall: 0.08992	NDCG: 0.04914
The time for epoch 23 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 255.99588, F1-score: 0.021787 	 Precision: 0.01237	 Recall: 0.09131	NDCG: 0.04981
The time for epoch 24 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.10135, F1-score: 0.021605 	 Precision: 0.01226	 Recall: 0.09062	NDCG: 0.04958
The time for epoch 25 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.95740, F1-score: 0.021592 	 Precision: 0.01226	 Recall: 0.09015	NDCG: 0.04949
The time for epoch 26 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.01929, F1-score: 0.021592 	 Precision: 0.01226	 Recall: 0.09015	NDCG: 0.04922
The time for epoch 27 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.59799, F1-score: 0.021711 	 Precision: 0.01233	 Recall: 0.09054	NDCG: 0.04935
The time for epoch 28 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.53113, F1-score: 0.021596 	 Precision: 0.01226	 Recall: 0.09030	NDCG: 0.04935
The time for epoch 29 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.88748, F1-score: 0.021658 	 Precision: 0.01230	 Recall: 0.09058	NDCG: 0.04942
The time for epoch 30 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 270.77979, F1-score: 0.021589 	 Precision: 0.01226	 Recall: 0.09005	NDCG: 0.04921
The time for epoch 31 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.25992, F1-score: 0.021599 	 Precision: 0.01226	 Recall: 0.09040	NDCG: 0.04928
The time for epoch 32 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.53012, F1-score: 0.021597 	 Precision: 0.01226	 Recall: 0.09033	NDCG: 0.04926
The time for epoch 33 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.86038, F1-score: 0.021471 	 Precision: 0.01220	 Recall: 0.08969	NDCG: 0.04935
The time for epoch 34 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.66800, F1-score: 0.021532 	 Precision: 0.01223	 Recall: 0.08993	NDCG: 0.04919
The time for epoch 35 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.46936, F1-score: 0.021539 	 Precision: 0.01223	 Recall: 0.09019	NDCG: 0.04956
The time for epoch 36 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.54141, F1-score: 0.021359 	 Precision: 0.01213	 Recall: 0.08955	NDCG: 0.04927
The time for epoch 37 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.13730, F1-score: 0.021605 	 Precision: 0.01226	 Recall: 0.09060	NDCG: 0.04966
The time for epoch 38 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.09445, F1-score: 0.021537 	 Precision: 0.01223	 Recall: 0.09011	NDCG: 0.04953
The time for epoch 39 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.09357, F1-score: 0.021359 	 Precision: 0.01213	 Recall: 0.08957	NDCG: 0.04926
The time for epoch 40 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.80768, F1-score: 0.021601 	 Precision: 0.01226	 Recall: 0.09046	NDCG: 0.04957
The time for epoch 41 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.36295, F1-score: 0.021416 	 Precision: 0.01216	 Recall: 0.08965	NDCG: 0.04932
The time for epoch 42 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.21274, F1-score: 0.021601 	 Precision: 0.01226	 Recall: 0.09046	NDCG: 0.04934
The time for epoch 43 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 269.41983, F1-score: 0.021651 	 Precision: 0.01230	 Recall: 0.09032	NDCG: 0.04958
The time for epoch 44 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.72675, F1-score: 0.021530 	 Precision: 0.01223	 Recall: 0.08986	NDCG: 0.04941
The time for epoch 45 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.96143, F1-score: 0.021736 	 Precision: 0.01233	 Recall: 0.09140	NDCG: 0.04981
The time for epoch 46 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.40387, F1-score: 0.021727 	 Precision: 0.01233	 Recall: 0.09108	NDCG: 0.04954
The time for epoch 47 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.28503, F1-score: 0.021599 	 Precision: 0.01226	 Recall: 0.09039	NDCG: 0.04966
The time for epoch 48 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.10150, F1-score: 0.021658 	 Precision: 0.01230	 Recall: 0.09056	NDCG: 0.04961
The time for epoch 49 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.31256, F1-score: 0.021532 	 Precision: 0.01223	 Recall: 0.08994	NDCG: 0.04917
The time for epoch 50 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.84085, F1-score: 0.021773 	 Precision: 0.01237	 Recall: 0.09081	NDCG: 0.04972
The time for epoch 51 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.68051, F1-score: 0.021716 	 Precision: 0.01233	 Recall: 0.09072	NDCG: 0.04978
The time for epoch 52 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.10791, F1-score: 0.021537 	 Precision: 0.01223	 Recall: 0.09011	NDCG: 0.04957
The time for epoch 53 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.48328, F1-score: 0.021473 	 Precision: 0.01220	 Recall: 0.08978	NDCG: 0.04944
The time for epoch 54 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.26785, F1-score: 0.021420 	 Precision: 0.01216	 Recall: 0.08979	NDCG: 0.04943
The time for epoch 55 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.69580, F1-score: 0.021429 	 Precision: 0.01216	 Recall: 0.09012	NDCG: 0.04950
The time for epoch 56 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.02289, F1-score: 0.021426 	 Precision: 0.01216	 Recall: 0.09000	NDCG: 0.04943
The time for epoch 57 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.34964, F1-score: 0.021657 	 Precision: 0.01230	 Recall: 0.09052	NDCG: 0.04959
The time for epoch 58 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.73715, F1-score: 0.021728 	 Precision: 0.01233	 Recall: 0.09113	NDCG: 0.04958
The time for epoch 59 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.52292, F1-score: 0.021536 	 Precision: 0.01223	 Recall: 0.09008	NDCG: 0.04919
The time for epoch 60 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.66681, F1-score: 0.021538 	 Precision: 0.01223	 Recall: 0.09014	NDCG: 0.04920
The time for epoch 61 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.84027, F1-score: 0.021779 	 Precision: 0.01237	 Recall: 0.09101	NDCG: 0.04951
The time for epoch 62 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.41571, F1-score: 0.021608 	 Precision: 0.01226	 Recall: 0.09070	NDCG: 0.04943
The time for epoch 63 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.78162, F1-score: 0.021718 	 Precision: 0.01233	 Recall: 0.09079	NDCG: 0.04949
The time for epoch 64 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.05856, F1-score: 0.021418 	 Precision: 0.01216	 Recall: 0.08974	NDCG: 0.04934
The time for epoch 65 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.62723, F1-score: 0.021416 	 Precision: 0.01216	 Recall: 0.08966	NDCG: 0.04933
The time for epoch 66 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.81924, F1-score: 0.021530 	 Precision: 0.01223	 Recall: 0.08986	NDCG: 0.04949
The time for epoch 67 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.53543, F1-score: 0.021535 	 Precision: 0.01223	 Recall: 0.09004	NDCG: 0.04953
The time for epoch 68 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.72391, F1-score: 0.021364 	 Precision: 0.01213	 Recall: 0.08974	NDCG: 0.04931
The time for epoch 69 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.30157, F1-score: 0.021587 	 Precision: 0.01226	 Recall: 0.08998	NDCG: 0.04945
The time for epoch 70 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 257.93915, F1-score: 0.021479 	 Precision: 0.01220	 Recall: 0.08997	NDCG: 0.04941
The time for epoch 71 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.16559, F1-score: 0.021737 	 Precision: 0.01233	 Recall: 0.09145	NDCG: 0.05005
The time for epoch 72 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 271.02606, F1-score: 0.021777 	 Precision: 0.01237	 Recall: 0.09096	NDCG: 0.04974
The time for epoch 73 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.04446, F1-score: 0.021910 	 Precision: 0.01244	 Recall: 0.09183	NDCG: 0.05006
The time for epoch 74 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.53766, F1-score: 0.021667 	 Precision: 0.01230	 Recall: 0.09087	NDCG: 0.04949
The time for epoch 75 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.24994, F1-score: 0.021795 	 Precision: 0.01237	 Recall: 0.09157	NDCG: 0.04968
The time for epoch 76 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.83279, F1-score: 0.021790 	 Precision: 0.01237	 Recall: 0.09142	NDCG: 0.04964
The time for epoch 77 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.30423, F1-score: 0.021733 	 Precision: 0.01233	 Recall: 0.09130	NDCG: 0.04975
The time for epoch 78 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 275.50732, F1-score: 0.021733 	 Precision: 0.01233	 Recall: 0.09130	NDCG: 0.04985
The time for epoch 79 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.91949, F1-score: 0.021847 	 Precision: 0.01240	 Recall: 0.09151	NDCG: 0.04990
The time for epoch 80 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.26782, F1-score: 0.021727 	 Precision: 0.01233	 Recall: 0.09108	NDCG: 0.04974
The time for epoch 81 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.83939, F1-score: 0.021599 	 Precision: 0.01226	 Recall: 0.09040	NDCG: 0.04964
The time for epoch 82 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.61542, F1-score: 0.021659 	 Precision: 0.01230	 Recall: 0.09059	NDCG: 0.04972
The time for epoch 83 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.88766, F1-score: 0.021672 	 Precision: 0.01230	 Recall: 0.09105	NDCG: 0.04971
The time for epoch 84 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.86041, F1-score: 0.021607 	 Precision: 0.01226	 Recall: 0.09066	NDCG: 0.04961
The time for epoch 85 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.54675, F1-score: 0.021476 	 Precision: 0.01220	 Recall: 0.08989	NDCG: 0.04948
The time for epoch 86 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.04297, F1-score: 0.021484 	 Precision: 0.01220	 Recall: 0.09014	NDCG: 0.04952
The time for epoch 87 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 270.11917, F1-score: 0.021728 	 Precision: 0.01233	 Recall: 0.09112	NDCG: 0.04974
The time for epoch 88 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.39755, F1-score: 0.021421 	 Precision: 0.01216	 Recall: 0.08982	NDCG: 0.04911
The time for epoch 89 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.35654, F1-score: 0.021590 	 Precision: 0.01226	 Recall: 0.09010	NDCG: 0.04930
The time for epoch 90 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.47672, F1-score: 0.021733 	 Precision: 0.01233	 Recall: 0.09132	NDCG: 0.04977
The time for epoch 91 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.27734, F1-score: 0.021743 	 Precision: 0.01233	 Recall: 0.09164	NDCG: 0.04994
The time for epoch 92 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 259.28925, F1-score: 0.021462 	 Precision: 0.01220	 Recall: 0.08938	NDCG: 0.04940
The time for epoch 93 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.26865, F1-score: 0.021414 	 Precision: 0.01216	 Recall: 0.08957	NDCG: 0.04938
The time for epoch 94 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.29874, F1-score: 0.021364 	 Precision: 0.01213	 Recall: 0.08974	NDCG: 0.04904
The time for epoch 95 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.90451, F1-score: 0.021851 	 Precision: 0.01240	 Recall: 0.09164	NDCG: 0.04989
The time for epoch 96 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.83261, F1-score: 0.021962 	 Precision: 0.01247	 Recall: 0.09174	NDCG: 0.04994
The time for epoch 97 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.42194, F1-score: 0.021906 	 Precision: 0.01244	 Recall: 0.09168	NDCG: 0.05001
The time for epoch 98 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.75388, F1-score: 0.021726 	 Precision: 0.01233	 Recall: 0.09105	NDCG: 0.04985
The time for epoch 99 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.57251, F1-score: 0.021605 	 Precision: 0.01226	 Recall: 0.09061	NDCG: 0.04967
The time for epoch 100 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.34793, F1-score: 0.022078 	 Precision: 0.01254	 Recall: 0.09204	NDCG: 0.05010
The time for epoch 101 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.23853, F1-score: 0.021421 	 Precision: 0.01216	 Recall: 0.08983	NDCG: 0.04942
The time for epoch 102 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.49014, F1-score: 0.021585 	 Precision: 0.01226	 Recall: 0.08992	NDCG: 0.04918
The time for epoch 103 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.40952, F1-score: 0.021544 	 Precision: 0.01223	 Recall: 0.09037	NDCG: 0.04952
The time for epoch 104 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 253.53168, F1-score: 0.021476 	 Precision: 0.01220	 Recall: 0.08989	NDCG: 0.04946
The time for epoch 105 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.83191, F1-score: 0.021602 	 Precision: 0.01226	 Recall: 0.09050	NDCG: 0.04929
The time for epoch 106 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.26428, F1-score: 0.021672 	 Precision: 0.01230	 Recall: 0.09105	NDCG: 0.04943
The time for epoch 107 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.21381, F1-score: 0.021785 	 Precision: 0.01237	 Recall: 0.09122	NDCG: 0.04986
The time for epoch 108 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.87280, F1-score: 0.021672 	 Precision: 0.01230	 Recall: 0.09105	NDCG: 0.04969
The time for epoch 109 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.68033, F1-score: 0.021731 	 Precision: 0.01233	 Recall: 0.09123	NDCG: 0.04952
The time for epoch 110 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.08322, F1-score: 0.021536 	 Precision: 0.01223	 Recall: 0.09007	NDCG: 0.04945
The time for epoch 111 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.50885, F1-score: 0.021851 	 Precision: 0.01240	 Recall: 0.09166	NDCG: 0.04989
The time for epoch 112 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.28613, F1-score: 0.021726 	 Precision: 0.01233	 Recall: 0.09107	NDCG: 0.04952
The time for epoch 113 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.69244, F1-score: 0.021767 	 Precision: 0.01237	 Recall: 0.09062	NDCG: 0.04976
The time for epoch 114 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.22836, F1-score: 0.021658 	 Precision: 0.01230	 Recall: 0.09058	NDCG: 0.04958
The time for epoch 115 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 271.42484, F1-score: 0.021603 	 Precision: 0.01226	 Recall: 0.09055	NDCG: 0.04967
The time for epoch 116 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.83270, F1-score: 0.021590 	 Precision: 0.01226	 Recall: 0.09010	NDCG: 0.04948
The time for epoch 117 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 262.49570, F1-score: 0.021601 	 Precision: 0.01226	 Recall: 0.09046	NDCG: 0.04956
The time for epoch 118 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.69458, F1-score: 0.021723 	 Precision: 0.01233	 Recall: 0.09096	NDCG: 0.04975
The time for epoch 119 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.45984, F1-score: 0.021480 	 Precision: 0.01220	 Recall: 0.09000	NDCG: 0.04923
The time for epoch 120 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.50797, F1-score: 0.021484 	 Precision: 0.01220	 Recall: 0.09014	NDCG: 0.04926
The time for epoch 121 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.89032, F1-score: 0.021544 	 Precision: 0.01223	 Recall: 0.09037	NDCG: 0.04953
The time for epoch 122 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.75320, F1-score: 0.021716 	 Precision: 0.01233	 Recall: 0.09069	NDCG: 0.04968
The time for epoch 123 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 268.92679, F1-score: 0.021720 	 Precision: 0.01233	 Recall: 0.09084	NDCG: 0.04975
The time for epoch 124 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.85666, F1-score: 0.021669 	 Precision: 0.01230	 Recall: 0.09097	NDCG: 0.04976
The time for epoch 125 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.62622, F1-score: 0.022012 	 Precision: 0.01251	 Recall: 0.09162	NDCG: 0.05005
The time for epoch 126 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.88977, F1-score: 0.021526 	 Precision: 0.01223	 Recall: 0.08973	NDCG: 0.04944
The time for epoch 127 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.52771, F1-score: 0.021356 	 Precision: 0.01213	 Recall: 0.08946	NDCG: 0.04933
The time for epoch 128 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.07327, F1-score: 0.021556 	 Precision: 0.01223	 Recall: 0.09080	NDCG: 0.04966
The time for epoch 129 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 265.46509, F1-score: 0.021490 	 Precision: 0.01220	 Recall: 0.09035	NDCG: 0.04930
The time for epoch 130 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.95224, F1-score: 0.021417 	 Precision: 0.01216	 Recall: 0.08971	NDCG: 0.04941
The time for epoch 131 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.36331, F1-score: 0.021539 	 Precision: 0.01223	 Recall: 0.09020	NDCG: 0.04957
The time for epoch 132 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 269.17670, F1-score: 0.021726 	 Precision: 0.01233	 Recall: 0.09105	NDCG: 0.04981
The time for epoch 133 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 258.91199, F1-score: 0.021662 	 Precision: 0.01230	 Recall: 0.09072	NDCG: 0.04965
The time for epoch 134 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.69107, F1-score: 0.021737 	 Precision: 0.01233	 Recall: 0.09145	NDCG: 0.04991
The time for epoch 135 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.32043, F1-score: 0.021594 	 Precision: 0.01226	 Recall: 0.09021	NDCG: 0.04952
The time for epoch 136 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.14377, F1-score: 0.021719 	 Precision: 0.01233	 Recall: 0.09082	NDCG: 0.04977
The time for epoch 137 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.36523, F1-score: 0.021765 	 Precision: 0.01237	 Recall: 0.09052	NDCG: 0.04938
The time for epoch 138 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 267.74759, F1-score: 0.021835 	 Precision: 0.01240	 Recall: 0.09108	NDCG: 0.04947
The time for epoch 139 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.56003, F1-score: 0.021644 	 Precision: 0.01230	 Recall: 0.09007	NDCG: 0.04924
The time for epoch 140 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 263.90570, F1-score: 0.021560 	 Precision: 0.01223	 Recall: 0.09091	NDCG: 0.04964
The time for epoch 141 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 269.85153, F1-score: 0.021469 	 Precision: 0.01220	 Recall: 0.08963	NDCG: 0.04943
The time for epoch 142 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 260.63925, F1-score: 0.021719 	 Precision: 0.01233	 Recall: 0.09081	NDCG: 0.04979
The time for epoch 143 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 271.12875, F1-score: 0.021534 	 Precision: 0.01223	 Recall: 0.09000	NDCG: 0.04951
The time for epoch 144 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.60034, F1-score: 0.021976 	 Precision: 0.01247	 Recall: 0.09223	NDCG: 0.05015
The time for epoch 145 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.60321, F1-score: 0.021788 	 Precision: 0.01237	 Recall: 0.09133	NDCG: 0.04956
The time for epoch 146 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 264.86169, F1-score: 0.021838 	 Precision: 0.01240	 Recall: 0.09119	NDCG: 0.04961
The time for epoch 147 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 266.99182, F1-score: 0.021722 	 Precision: 0.01233	 Recall: 0.09090	NDCG: 0.04979
The time for epoch 148 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 271.99930, F1-score: 0.021533 	 Precision: 0.01223	 Recall: 0.08998	NDCG: 0.04917
The time for epoch 149 is: train time = 00: 00: 03, test time = 00: 00: 00
Loss = 261.47076, F1-score: 0.021540 	 Precision: 0.01223	 Recall: 0.09021	NDCG: 0.04949
